STD_ZIP5,LATITUDE,LONGITUDE
54022,44.855022059,-92.62436174
54023,44.980291612,-92.55518001
54024,45.446480798,-92.62560839
54025,45.137530669,-92.67820994
54026,45.220925194,-92.53601423
54027,44.92695169,-92.19490462
54028,44.950825674,-92.28744902
54082,45.067126783,-92.75669994
54101,44.788311913,-88.05420887
54102,45.507579721,-88.01122653
54103,45.66550569,-88.46558415
54104,45.3961204,-88.22800867
54106,44.465260239,-88.45205557
54107,44.717569222,-88.44839954
54110,44.178117982,-88.07319709
54111,44.816303247,-88.41764092
54112,45.05450717,-88.05716778
54113,44.262762385,-88.30980906
54114,45.254764613,-88.10187944
54115,44.430482654,-88.07770822
54119,45.620710657,-88.12195812
54120,45.760047384,-88.4145113
54121,45.886587975,-88.31627981
54123,44.1999,-88.1074
54124,44.898532358,-88.34316529
54125,45.64360319,-88.35582554
54126,44.297462136,-88.03475607
54127,44.8119,-88.3017
54128,44.86797918,-88.78868078
54129,44.129745062,-88.21085183
54130,44.290758791,-88.26932725
54135,44.898386408,-88.5730245
54136,44.267845185,-88.33760748
54137,44.760444701,-88.2613278
54138,45.315070415,-88.49379428
54139,44.936867266,-88.06947007
54140,44.286187972,-88.31236109
54141,44.724634582,-88.01675045
54143,45.086382988,-87.64471435
54149,45.209091628,-88.49568777
54150,45.03062187,-88.81115467
54151,45.762685428,-88.03151727
54153,44.888674307,-87.89604169
54154,44.86859801,-88.15958582
54155,44.524523333,-88.16959401
54156,45.594332745,-87.97359065
54157,45.054983917,-87.77499523
54159,45.200985531,-87.80801778
54161,45.114812037,-88.14275598
54162,44.666755212,-88.24214636
54165,44.508864585,-88.32432982
54166,44.787036235,-88.59554857
54169,44.174900466,-88.28418103
54170,44.467865198,-88.56299316
54171,44.707784335,-88.11780981
54173,44.633410744,-88.03443699
54174,45.036886052,-88.36646593
54175,45.310618508,-88.60523092
54177,45.356630785,-87.89860313
54180,44.323731865,-88.16198565
54201,44.609953801,-87.45392597
54202,45.063905828,-87.13478647
54204,44.749442008,-87.6186823
54205,44.587069608,-87.62144013
54208,44.362099841,-87.81597005
54209,45.020202758,-87.30396682
54210,45.255838163,-87.04247544
54212,45.114571573,-87.22507352
54213,44.697244473,-87.50610676
54216,44.444600483,-87.54903916
54217,44.561515838,-87.71895355
54220,44.097590668,-87.68146683
54227,44.283027412,-87.80021249
54228,44.255242913,-87.64277326
54229,44.560955292,-87.83642642
54230,44.15464028,-87.90351951
54234,45.185636341,-87.12417403
54235,44.845346895,-87.3745606
54241,44.166783545,-87.58409476
54245,44.030940779,-87.88900556
54246,45.374329793,-86.93270557
54247,44.180955156,-87.79581086
54301,44.485213942,-88.01691267
54302,44.500534755,-87.97699384
54303,44.531654132,-88.04804632
54304,44.50472059,-88.06856792
54311,44.490116886,-87.93597545
54313,44.557414765,-88.10171898
54401,44.967196251,-89.65993644
54403,44.961933803,-89.61650129
54405,44.94913878,-90.32325298
54406,44.426194394,-89.30863983
54407,44.511818065,-89.30450997
54408,45.014605805,-89.1951814
54409,45.132063728,-89.13921401
54410,44.542397208,-90.04420959
54411,45.045118729,-90.07340618
54412,44.640795026,-90.00522433
54414,44.947175041,-89.14717426
54416,44.88568004,-88.94986858
54418,45.193752754,-88.9924829
54420,44.623496192,-90.36075092
54421,44.909129627,-90.33036702
54422,44.980043563,-90.44654419
54423,44.567760264,-89.41562881
54424,45.279706708,-89.18695864
54425,45.007929376,-90.35464672
54426,44.914987563,-89.97000545
54427,44.864144209,-89.20358334
54428,45.437014016,-89.12934397
54430,45.153314667,-88.90186511
54433,45.19730766,-90.82778057
54435,45.351110133,-89.46443386
54436,44.57408071,-90.43901117
54437,44.769492867,-90.61867967
54440,44.870444408,-89.34564178
54441,44.641333327,-90.10578743
54442,45.353271018,-89.66164221
54443,44.610667361,-89.73001929
54446,44.746617658,-90.48126582
54447,45.075411051,-90.73256351
54448,44.931094412,-89.83831945
54449,44.656593684,-90.1778097
54451,45.154166452,-90.34958427
54452,45.181592678,-89.68959335
54454,44.601726353,-89.8861175
54455,44.812410856,-89.65289076
54456,44.556351129,-90.6065267
54457,44.254539968,-89.86043563
54459,45.436050946,-90.26884849
54460,44.948849184,-90.54407005
54462,45.401226962,-88.9969282
54463,45.511381521,-89.19731293
54465,45.392244902,-88.92266764
54466,44.437361294,-90.19384023
54467,44.462505769,-89.54806519
54469,44.349277353,-89.86565251
54470,45.30342851,-90.17962774
54471,44.899010214,-89.48927511
54473,44.6294518,-89.32610828
54474,44.8840639,-89.61916906
54475,44.47821332,-89.79465304
54476,44.905251827,-89.57928393
54479,44.75268523,-90.32030499
54480,45.071276799,-90.29945223
54481,44.518564255,-89.57143832
54482,44.542190237,-89.51445419
54484,44.858582,-90.019154
54485,45.382593284,-89.21355797
54486,44.733699182,-89.05080337
54487,45.501355107,-89.72216384
54488,44.840061463,-90.34955425
54489,44.470959684,-89.97991103
54490,45.33710928,-90.32220594
54491,45.194091073,-88.76405841
54493,44.73101131,-90.75624251
54494,44.366373883,-89.78896242
54495,44.395689179,-89.86560184
