ObjectID,STD_ZIP5,LATITUDE,LONGITUDE,USPS_ZIP_PREF_CITY_1221,USPS_ZIP_PREF_STATE_1221,x,y
28077,95667,38.724527241,-120.8006598,PLACERVILLE,CA,-120.8006598,38.724527241
28078,95668,38.810825478,-121.4926293,PLEASANT GROVE,CA,-121.4926293,38.810825478
28079,95669,38.475314931,-120.8869754,PLYMOUTH,CA,-120.8869754,38.4753149310001
28080,95670,38.600885331,-121.2852548,RANCHO CORDOVA,CA,-121.2852548,38.600885331
28081,95672,38.711389791,-120.9905029,RESCUE,CA,-120.9905029,38.711389791
28082,95673,38.689662316,-121.4467512,RIO LINDA,CA,-121.4467512,38.6896623160001
28083,95674,38.960003507,-121.5076279,RIO OSO,CA,-121.5076279,38.9600035070001
28084,95677,38.78753159,-121.238331,ROCKLIN,CA,-121.238331,38.7875315900001
28085,95678,38.761084619,-121.2894449,ROSEVILLE,CA,-121.2894449,38.761084619
28086,95681,38.989128428,-121.3608034,SHERIDAN,CA,-121.3608034,38.9891284280001
28087,95682,38.668932249,-120.9754707,SHINGLE SPRINGS,CA,-120.9754707,38.6689322490001
28088,95683,38.499595323,-121.0907078,SLOUGHHOUSE,CA,-121.0907078,38.4995953230001
28089,95684,38.607367862,-120.6634888,SOMERSET,CA,-120.6634888,38.607367862
28090,95685,38.401190705,-120.773136,SUTTER CREEK,CA,-120.773136,38.401190705
28091,95687,38.344674414,-121.958822,VACAVILLE,CA,-121.958822,38.3446744140001
28092,95688,38.379575785,-121.9854286,VACAVILLE,CA,-121.9854286,38.379575785
28093,95689,38.483938758,-120.5943054,VOLCANO,CA,-120.5943054,38.4839387580001
28094,95690,38.230331772,-121.5657113,WALNUT GROVE,CA,-121.5657113,38.2303317720001
28095,95691,38.557369786,-121.545616,WEST SACRAMENTO,CA,-121.545616,38.557369786
28096,95692,39.022109853,-121.4163244,WHEATLAND,CA,-121.4163244,39.0221098530001
28097,95693,38.402797659,-121.2222741,WILTON,CA,-121.2222741,38.402797659
28098,95694,38.524081466,-121.9730047,WINTERS,CA,-121.9730047,38.524081466
28099,95695,38.674771444,-121.7910168,WOODLAND,CA,-121.7910168,38.674771444
28100,95703,38.989649326,-121.0031379,APPLEGATE,CA,-121.0031379,38.9896493260001
28101,95709,38.746176632,-120.6709622,CAMINO,CA,-120.6709622,38.7461766320001
28102,95713,39.079656817,-120.960024,COLFAX,CA,-120.960024,39.0796568170001
28103,95720,38.796268,-120.146308,KYBURZ,CA,-120.146308,38.7962680000001
28104,95722,39.00137371,-121.0309919,MEADOW VISTA,CA,-121.0309919,39.0013737100001
28105,95726,38.744223811,-120.5878303,POLLOCK PINES,CA,-120.5878303,38.744223811
28106,95735,38.7251,-120.2508,TWIN BRIDGES,CA,-120.2508,38.7251000000001
28107,95742,38.557063426,-121.227294,RANCHO CORDOVA,CA,-121.227294,38.5570634260001
28108,95746,38.742592881,-121.1878021,GRANITE BAY,CA,-121.1878021,38.7425928810001
28109,95747,38.773020891,-121.3407624,ROSEVILLE,CA,-121.3407624,38.773020891
28110,95757,38.392493701,-121.4363977,ELK GROVE,CA,-121.4363977,38.392493701
28111,95758,38.423436004,-121.4371278,ELK GROVE,CA,-121.4371278,38.4234360040001
28112,95762,38.681293962,-121.0653924,EL DORADO HILLS,CA,-121.0653924,38.681293962
28113,95765,38.815608004,-121.2671192,ROCKLIN,CA,-121.2671192,38.8156080040001
28114,95776,38.666054723,-121.7467249,WOODLAND,CA,-121.7467249,38.6660547230001
28115,95811,38.574629685,-121.4863584,SACRAMENTO,CA,-121.4863584,38.574629685
28116,95814,38.579308413,-121.4931028,SACRAMENTO,CA,-121.4931028,38.579308413
28117,95815,38.612563821,-121.4437911,SACRAMENTO,CA,-121.4437911,38.612563821
28118,95816,38.572418755,-121.4693852,SACRAMENTO,CA,-121.4693852,38.5724187550001
28119,95817,38.550001578,-121.4569298,SACRAMENTO,CA,-121.4569298,38.550001578
28120,95818,38.55610292,-121.4926813,SACRAMENTO,CA,-121.4926813,38.5561029200001
28121,95819,38.569436795,-121.4409513,SACRAMENTO,CA,-121.4409513,38.5694367950001
28122,95820,38.534931067,-121.4447061,SACRAMENTO,CA,-121.4447061,38.5349310670001
28123,95821,38.622974425,-121.3864811,SACRAMENTO,CA,-121.3864811,38.6229744250001
28124,95822,38.511650372,-121.4948406,SACRAMENTO,CA,-121.4948406,38.5116503720001
28125,95823,38.476946222,-121.4423797,SACRAMENTO,CA,-121.4423797,38.476946222
28126,95824,38.51759894,-121.4432727,SACRAMENTO,CA,-121.4432727,38.51759894
28127,95825,38.587980569,-121.4070255,SACRAMENTO,CA,-121.4070255,38.587980569
28128,95826,38.553658749,-121.3753239,SACRAMENTO,CA,-121.3753239,38.5536587490001
28129,95827,38.566865223,-121.32965,SACRAMENTO,CA,-121.32965,38.566865223
28130,95828,38.480323486,-121.4010299,SACRAMENTO,CA,-121.4010299,38.480323486
28131,95829,38.466700708,-121.3453547,SACRAMENTO,CA,-121.3453547,38.4667007080001
28132,95830,38.470879426,-121.2863788,SACRAMENTO,CA,-121.2863788,38.4708794260001
28133,95831,38.49615698,-121.5299228,SACRAMENTO,CA,-121.5299228,38.4961569800001
28134,95832,38.476206576,-121.4870478,SACRAMENTO,CA,-121.4870478,38.476206576
28135,95833,38.615996586,-121.5028999,SACRAMENTO,CA,-121.5028999,38.6159965860001
28136,95834,38.640088011,-121.5183578,SACRAMENTO,CA,-121.5183578,38.640088011
28137,95835,38.671507296,-121.5171044,SACRAMENTO,CA,-121.5171044,38.6715072960001
28138,95837,38.69925345,-121.6148965,SACRAMENTO,CA,-121.6148965,38.6992534500001
28139,95838,38.641596341,-121.4449607,SACRAMENTO,CA,-121.4449607,38.641596341
28140,95841,38.662460697,-121.3434064,SACRAMENTO,CA,-121.3434064,38.662460697
28141,95842,38.685855053,-121.3525246,SACRAMENTO,CA,-121.3525246,38.6858550530001
28142,95843,38.716159045,-121.3653296,ANTELOPE,CA,-121.3653296,38.716159045
28143,95864,38.587251809,-121.378249,SACRAMENTO,CA,-121.378249,38.5872518090001
28144,95901,39.158734161,-121.5476883,MARYSVILLE,CA,-121.5476883,39.158734161
28145,95903,39.104197438,-121.3539419,BEALE AFB,CA,-121.3539419,39.104197438
28146,95910,39.517233375,-120.879338,ALLEGHANY,CA,-120.879338,39.517233375
28147,95912,38.987963804,-122.0408532,ARBUCKLE,CA,-122.0408532,38.9879638040001
28148,95914,39.424053652,-121.3731063,BANGOR,CA,-121.3731063,39.4240536520001
28149,95916,39.635783173,-121.3954331,BERRY CREEK,CA,-121.3954331,39.635783173
28150,95917,39.411123183,-121.6786463,BIGGS,CA,-121.6786463,39.411123183
28151,95918,39.278315083,-121.3592511,BROWNS VALLEY,CA,-121.3592511,39.2783150830001
28152,95919,39.444022281,-121.2654928,BROWNSVILLE,CA,-121.2654928,39.4440222810001
28153,95920,39.439120606,-121.9619536,BUTTE CITY,CA,-121.9619536,39.4391206060001
28154,95922,39.426420274,-121.0865576,CAMPTONVILLE,CA,-121.0865576,39.4264202740001
28155,95923,40.208325721,-121.1571556,CANYON DAM,CA,-121.1571556,40.2083257210001
28156,95925,39.501789375,-121.2103426,CHALLENGE,CA,-121.2103426,39.501789375
28157,95926,39.743891944,-121.8473498,CHICO,CA,-121.8473498,39.743891944
28158,95928,39.727373489,-121.8126802,CHICO,CA,-121.8126802,39.7273734890001
28159,95930,39.6235,-121.236,CLIPPER MILLS,CA,-121.236,39.6235
28160,95932,39.207906268,-122.0103377,COLUSA,CA,-122.0103377,39.207906268
28161,95934,40.051357385,-121.0049958,CRESCENT MILLS,CA,-121.0049958,40.0513573850001
28162,95935,39.373162211,-121.220462,DOBBINS,CA,-121.220462,39.3731622110001
28163,95938,39.647186457,-121.7908744,DURHAM,CA,-121.7908744,39.647186457
28164,95939,39.484658783,-122.53102,ELK CREEK,CA,-122.53102,39.484658783
28165,95941,39.517001867,-121.2579228,FORBESTOWN,CA,-121.2579228,39.517001867
28166,95942,39.943585332,-121.6328949,FOREST RANCH,CA,-121.6328949,39.9435853320001
28167,95943,39.594491627,-122.0336167,GLENN,CA,-122.0336167,39.594491627
28168,95945,39.211912346,-121.0401724,GRASS VALLEY,CA,-121.0401724,39.2119123460001
28169,95946,39.225233279,-121.1975298,PENN VALLEY,CA,-121.1975298,39.2252332790001
